Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1421       4767       0          2177       3.35
structure_refs      163        72         0          9          0.44
biomes              163        1713       0          637        10.51
terrain             163        1300       2          63         7.98
surface             163        697        0          62         4.28
air_carvers         163        545        0          92         3.34
fluid_carvers       163        10         0          0          0.06
decoration          74         1416       4          207        19.14
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             49.10
